Time,0.5 0.5
213.5,22.0832
214,22.0971
214.5,22.1111
215,22.125
215.5,22.139
216,22.1531
216.5,22.1671
217,22.1812
217.5,22.1953
218,22.2095
218.5,22.2237
219,22.2379
219.5,22.2521
220,22.2664
220.5,22.2807
221,22.295
221.5,22.3094
222,22.3238
222.5,22.3382
223,22.3527
223.5,22.3671
224,22.3816
224.5,22.3962
225,22.4107
225.5,22.4253
226,22.4399
226.5,22.4546
227,22.4692
227.5,22.4839
228,22.4986
228.5,22.5134
229,22.5281
229.5,22.5429
230,22.5578
230.5,22.5726
231,22.5875
231.5,22.6024
232,22.6173
232.5,22.6322
233,22.6472
233.5,22.6622
234,22.6772
234.5,22.6923
235,22.7073
235.5,22.7224
236,22.7375
236.5,22.7527
237,22.7678
237.5,22.783
238,22.7982
238.5,22.8135
239,22.8287
239.5,22.844
240,22.8593
240.5,22.8746
241,22.8899
241.5,22.9053
242,22.9207
242.5,22.9361
243,22.9515
243.5,22.9669
244,22.9824
244.5,22.9979
245,23.0134
245.5,23.0289
246,23.0444
246.5,23.06
247,23.0756
247.5,23.0912
248,23.1068
248.5,23.1224
249,23.1381
249.5,23.1538
250,23.1695
250.5,23.1852
251,23.2009
251.5,23.2167
252,23.2324
252.5,23.2482
253,23.264
253.5,23.2798
254,23.2957
254.5,23.3115
255,23.3274
255.5,23.3433
256,23.3592
256.5,23.3751
257,23.391
257.5,23.407
258,23.423
258.5,23.439
259,23.455
259.5,23.471
260,23.487
260.5,23.503
261,23.5191
261.5,23.5352
262,23.5513
262.5,23.5674
263,23.5835
263.5,23.5996
264,23.6158
264.5,23.6319
265,23.6481
265.5,23.6643
266,23.6805
266.5,23.6967
267,23.7129
267.5,23.7292
268,23.7454
268.5,23.7617
269,23.778
269.5,23.7943
270,23.8106
270.5,23.8269
271,23.8432
271.5,23.8596
272,23.8759
272.5,23.8923
273,23.9086
273.5,23.925
274,23.9414
274.5,23.9578
275,23.9743
275.5,23.9907
276,24.0071
276.5,24.0236
277,24.04
277.5,24.0565
278,24.073
278.5,24.0895
279,24.106
279.5,24.1225
280,24.139
280.5,24.1556
281,24.1721
281.5,24.1887
282,24.2052
282.5,24.2218
283,24.2384
283.5,24.2549
284,24.2715
284.5,24.2881
285,24.3048
285.5,24.3214
286,24.338
286.5,24.3546
287,24.3713
